loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.141654541015625,11.745691299438477,2.8939801699716712e-05,0.35410764872521244,500,,,,,,,,,
2.0458616943359376,8.096704483032227,2.7877478753541074e-05,0.7082152974504249,1000,,,,,,,,,
,,,1.0,1412,1.6889119148254395,12.6765,99.002,12.385,,,,,
1.806662109375,5.369513034820557,2.6815155807365443e-05,1.0623229461756374,1500,,,,,,,,,
1.6292362060546874,6.586508750915527,2.5752832861189805e-05,1.41643059490085,2000,,,,,,,,,
1.57950048828125,6.873396873474121,2.4690509915014166e-05,1.7705382436260622,2500,,,,,,,,,
,,,2.0,2824,1.54197359085083,12.5201,100.239,12.54,,,,,
1.4749541015625,6.664360046386719,2.3628186968838528e-05,2.1246458923512748,3000,,,,,,,,,
1.35360400390625,4.873699188232422,2.256586402266289e-05,2.4787535410764874,3500,,,,,,,,,
1.3750513916015625,5.190792560577393,2.1503541076487252e-05,2.8328611898017,4000,,,,,,,,,
,,,3.0,4236,1.4721797704696655,12.5142,100.286,12.546,,,,,
1.2516947021484375,7.446478843688965,2.0441218130311614e-05,3.186968838526912,4500,,,,,,,,,
1.2020667724609375,6.171404838562012,1.9378895184135975e-05,3.5410764872521248,5000,,,,,,,,,
1.203014404296875,8.775638580322266,1.831657223796034e-05,3.8951841359773374,5500,,,,,,,,,
,,,4.0,5648,1.4403027296066284,12.6386,99.299,12.422,,,,,
1.085918212890625,8.668431282043457,1.7254249291784702e-05,4.2492917847025495,6000,,,,,,,,,
1.091665771484375,8.249593734741211,1.6191926345609068e-05,4.603399433427762,6500,,,,,,,,,
1.1003011474609374,6.414615154266357,1.5129603399433428e-05,4.957507082152975,7000,,,,,,,,,
,,,5.0,7060,1.4173861742019653,12.8191,97.901,12.247,,,,,
0.9745504150390625,8.329392433166504,1.406728045325779e-05,5.311614730878187,7500,,,,,,,,,
0.9968839111328125,4.4985270500183105,1.3004957507082153e-05,5.665722379603399,8000,,,,,,,,,
,,,6.0,8472,1.3953293561935425,12.9278,97.077,12.144,,,,,
1.0197513427734375,6.958147048950195,1.1942634560906516e-05,6.019830028328612,8500,,,,,,,,,
0.920080322265625,6.585102558135986,1.0880311614730878e-05,6.373937677053824,9000,,,,,,,,,
0.9101486206054688,7.153784275054932,9.81798866855524e-06,6.7280453257790365,9500,,,,,,,,,
,,,7.0,9884,1.395828127861023,12.6406,99.283,12.42,,,,,
0.9333046264648438,6.333491802215576,8.755665722379604e-06,7.0821529745042495,10000,,,,,,,,,
0.8817178955078125,7.517588138580322,7.693342776203967e-06,7.436260623229462,10500,,,,,,,,,
0.8627808227539062,5.857016563415527,6.631019830028329e-06,7.790368271954674,11000,,,,,,,,,
,,,8.0,11296,1.4017033576965332,12.6352,99.325,12.426,,,,,
0.8289258422851562,7.156793594360352,5.5686968838526915e-06,8.144475920679886,11500,,,,,,,,,
0.84074462890625,6.086902141571045,4.506373937677054e-06,8.498583569405099,12000,,,,,,,,,
0.8292636108398438,6.533442974090576,3.4440509915014164e-06,8.852691218130312,12500,,,,,,,,,
,,,9.0,12708,1.4044992923736572,12.6186,99.456,12.442,,,,,
0.819706787109375,5.1213765144348145,2.381728045325779e-06,9.206798866855523,13000,,,,,,,,,
0.8052039184570312,5.26180362701416,1.3194050991501417e-06,9.560906515580736,13500,,,,,,,,,
0.7818782958984375,6.991273403167725,2.5708215297450425e-07,9.91501416430595,14000,,,,,,,,,
,,,10.0,14120,1.4093050956726074,12.8676,97.532,12.201,,,,,
,,,10.0,14120,,,,,2950.8787,38.263,4.785,1913732192010240.0,1.1661488254752443
